monitoring_id,species_name,tree_planting_date,date_monitoring,total_tree,avg_tree_height,carbon_reduce,total_carbon_reduce,tree_planting_system
SS-1-G1,Bruguiera gymnorrhiza,2018-03-18,2024-04-16,9,0.81,0.0163708527062984,0.147337674356686,Ajir
SS-1-G2,Bruguiera gymnorrhiza,2018-03-18,2024-04-16,8,0.39,0.00257630727006328,0.0206104581605062,Ajir
SS-1-G3,Bruguiera gymnorrhiza,2023-03-04,2024-04-16,5,0.29,0.00121750607798047,0.00608753038990233,Ajir
SS-1-G4,Bruguiera gymnorrhiza,2023-03-04,2024-04-16,2,0.38,0.00241244101064321,0.00482488202128643,Ajir
SS-1-G4,Bruguiera gymnorrhiza,2023-03-04,2024-04-16,1,0.5,0.00483056927003685,0.00483056927003685,Ajir
SS-1-G5,Bruguiera gymnorrhiza,2023-03-15,2024-04-16,3,0.44,0.00349574282376336,0.0104872284712901,Ajir
SS-1-G6,Bruguiera gymnorrhiza,2023-03-15,2024-04-16,3,0.53,0.00559786155461296,0.0167935846638389,Ajir
SS-1-G7,Bruguiera gymnorrhiza,2023-03-15,2024-04-16,1,0.68,0.0105160284511329,0.0105160284511329,Ajir
SS-1-G7,Bruguiera gymnorrhiza,2023-03-15,2024-04-16,2,0.65,0.00938155859860921,0.0187631171972184,Ajir
SS-1-G8,Bruguiera gymnorrhiza,2023-03-15,2024-04-16,1,1.165,0.0410590403318986,0.0410590403318986,Ajir
SS-1-G8,Bruguiera gymnorrhiza,2023-03-15,2024-04-16,1,0.785,0.0151225293073287,0.0151225293073287,Ajir
SS-1-G9,Bruguiera gymnorrhiza,2023-03-15,2024-04-16,2,0.86,0.0190495747368542,0.0380991494737084,Ajir
SS-1-G11,Bruguiera gymnorrhiza,2023-03-18,2024-04-16,1,0.51,0.00507874898806015,0.00507874898806015,Ajir
SS-1-G12,Bruguiera gymnorrhiza,2023-03-18,2024-04-16,1,0.76,0.0139335760309741,0.0139335760309741,Ajir
SS-1-G13,Bruguiera gymnorrhiza,2022-03-22,2024-04-16,2,1.32,0.0563191704446783,0.112638340889357,Ajir
SS-1-G15,Bruguiera gymnorrhiza,2022-03-22,2024-04-16,3,1,0.0279,0.0837,Ajir
SS-1-G16,Bruguiera gymnorrhiza,2022-03-22,2024-04-16,4,0.73,0.0125837777512435,0.0503351110049742,Ajir
SS-1-G17,Bruguiera gymnorrhiza,2022-03-22,2024-04-16,2,0.39,0.00257630727006328,0.00515261454012656,Ajir
SS-1-G18,Bruguiera gymnorrhiza,2022-03-22,2024-04-16,3,0.65,0.00938155859860921,0.0281446757958276,Ajir
